Modelo,MAE,RMSE,R²
Prophet,6471.921410862046,7312.522445230939,-0.2450037949772641
XGBoost,6496.170522836538,7910.127840588118,-0.4568111471408156
Random Forest,6672.788770146521,7800.619911553611,-0.41675412388369204
LightGBM,6990.088776271034,8231.493501603676,-0.57758776820321
SARIMAX,7226.398616360957,8465.54478835621,-0.6685763146524477
Baseline Persistência,7715.153846153846,8925.122403814803,-0.8546613127894658
Baseline Média Móvel (12),8631.525641025644,9832.378572428945,-1.250885659887392
